Repo,Tag Name,Release Name,Published At,Year,Month,Day,Week,Date,Is Weekend,URL
daangn/stackflow,@stackflow/plugin-basic-ui@1.8.4,@stackflow/plugin-basic-ui@1.8.4,2024-08-02T01:22:03Z,2024,8,2,31,2024-08-02,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/plugin-basic-ui%401.8.4
daangn/stackflow,@stackflow/react@1.2.1,@stackflow/react@1.2.1,2024-07-31T12:47:28Z,2024,7,31,31,2024-07-31,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/react%401.2.1
daangn/stackflow,@stackflow/react@1.2.0,@stackflow/react@1.2.0,2024-07-31T10:07:05Z,2024,7,31,31,2024-07-31,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/react%401.2.0
daangn/stackflow,@stackflow/plugin-renderer-web@1.1.11,@stackflow/plugin-renderer-web@1.1.11,2024-07-31T10:07:02Z,2024,7,31,31,2024-07-31,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/plugin-renderer-web%401.1.11
daangn/stackflow,@stackflow/plugin-renderer-basic@1.1.11,@stackflow/plugin-renderer-basic@1.1.11,2024-07-31T10:06:59Z,2024,7,31,31,2024-07-31,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/plugin-renderer-basic%401.1.11
daangn/stackflow,@stackflow/plugin-preload@1.3.3,@stackflow/plugin-preload@1.3.3,2024-07-31T10:06:56Z,2024,7,31,31,2024-07-31,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/plugin-preload%401.3.3
daangn/stackflow,@stackflow/plugin-map-initial-activity@1.0.9,@stackflow/plugin-map-initial-activity@1.0.9,2024-07-31T10:06:53Z,2024,7,31,31,2024-07-31,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/plugin-map-initial-activity%401.0.9
daangn/stackflow,@stackflow/plugin-history-sync@1.6.0,@stackflow/plugin-history-sync@1.6.0,2024-07-31T10:06:50Z,2024,7,31,31,2024-07-31,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/plugin-history-sync%401.6.0
daangn/stackflow,@stackflow/plugin-google-analytics-4@1.1.13,@stackflow/plugin-google-analytics-4@1.1.13,2024-07-31T10:06:47Z,2024,7,31,31,2024-07-31,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/plugin-google-analytics-4%401.1.13
daangn/stackflow,@stackflow/plugin-basic-ui@1.8.3,@stackflow/plugin-basic-ui@1.8.3,2024-07-31T10:06:44Z,2024,7,31,31,2024-07-31,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/plugin-basic-ui%401.8.3
daangn/stackflow,@stackflow/link@1.4.3,@stackflow/link@1.4.3,2024-07-31T10:06:41Z,2024,7,31,31,2024-07-31,FALSE,https://github.com/daangn/stackflow/releases/tag/%40stackflow/link%401.4.3
